Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
161,Jarace Walker,20,IND,PF,9,0,31,3,10,.300,0,3,.000,3,7,.429,.300,2,3,.667,1,3,4,4,2,1,6,2,8,,walkeja02
162,Grayson Allen,28,PHO,SG,2,2,43,1,5,.200,1,5,.200,0,0,,.300,4,4,1.000,2,6,8,2,1,0,3,4,7,,allengr01
163,Jose Alvarado,25,NOP,PG,4,0,62,3,20,.150,1,14,.071,2,6,.333,.175,0,0,,0,4,4,9,5,1,4,3,7,,alvarjo01
164,Nassir Little,23,PHO,SF,4,0,14,3,5,.600,1,3,.333,2,2,1.000,.700,0,0,,0,1,1,0,0,0,0,2,7,,littlna01
165,Wendell Moore Jr.,22,MIN,SG,6,0,18,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,2,2,2,1,0,1,3,7,,moorewe01
166,Jericho Sims,25,NYK,C,5,0,27,2,2,1.000,0,0,,2,2,1.000,1.000,3,4,.750,3,5,8,1,2,1,0,1,7,,simsje01
167,Julian Strawther,21,DEN,SF,3,0,16,2,6,.333,1,4,.250,1,2,.500,.417,2,4,.500,0,2,2,0,1,0,1,3,7,,strawju01
168,Gabe Vincent,27,LAL,PG,5,0,69,3,12,.250,1,7,.143,2,5,.400,.292,0,0,,1,7,8,3,2,0,3,8,7,,vincega01
169,Anthony Black,20,ORL,PG,2,0,11,3,7,.429,0,2,.000,3,5,.600,.429,0,0,,1,1,2,2,1,0,1,1,6,,blackan01
170,Josh Minott,21,MIN,SF,5,0,18,2,9,.222,2,5,.400,0,4,.000,.333,0,0,,1,4,5,3,0,0,0,2,6,,minotjo01
171,Chuma Okeke,25,ORL,SF,2,0,10,2,3,.667,1,2,.500,1,1,1.000,.833,1,1,1.000,0,0,0,1,0,0,0,0,6,,okekech01
172,Dwight Powell,32,DAL,C,13,0,44,1,3,.333,0,0,,1,3,.333,.333,4,6,.667,3,9,12,3,1,0,3,9,6,,poweldw01
173,Brandon Boston Jr.,22,LAC,SF,3,0,10,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,1,1,2,1,0,0,0,2,5,,bostobr01
174,Jett Howard,20,ORL,SF,2,0,10,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,1,0,0,2,1,5,,howarje01
